Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-02-08,1.6307,1.6683,1.6211,1.6543,67092,1.636,190697,111133,421975,201703
2017-02-07,1.6588,1.6597,1.6263,1.6404,61450,1.6221,152610,114428,415983,201703
2017-02-06,1.6907,1.6981,1.6499,1.6535,59781,1.6352,142015,120629,416258,201703
2017-02-03,1.6769,1.6929,1.6604,1.6834,61223,1.6651,143218,124704,413969,201703
2017-02-02,1.6892,1.7121,1.6674,1.6701,63841,1.6518,163581,126465,407480,201703
2017-02-01,1.649,1.6933,1.643,1.6923,75087,1.674,180572,130705,404128,201703
2017-01-31,1.6412,1.68,1.6346,1.6491,70572,1.6308,154360,132444,405318,201703
2017-01-30,1.6531,1.664,1.6382,1.6425,53997,1.6242,126267,134726,411960,201703
2017-01-27,1.6781,1.6869,1.6332,1.6526,78550,1.6343,195698,135061,418857,201703
2017-01-26,1.6532,1.6889,1.6483,1.676,67083,1.6577,160313,138239,424555,201703
2017-01-25,1.6668,1.671,1.6383,1.6475,73014,1.6292,181145,133200,419824,201703
2017-01-24,1.6684,1.6842,1.664,1.6771,57128,1.6588,142810,134646,423582,201703
2017-01-23,1.6753,1.6848,1.6568,1.6639,58576,1.6456,168370,128158,420414,201703
2017-01-20,1.6508,1.6976,1.6485,1.6811,67501,1.6628,179620,124795,418855,201703
2017-01-19,1.6519,1.6676,1.6461,1.6512,53302,1.6329,170634,119991,421694,201703
2017-01-18,1.6803,1.6903,1.6364,1.6411,46706,1.6228,176724,119858,427336,201703
2017-01-17,1.6883,1.725,1.6747,1.6801,52365,1.6618,189747,119317,434436,201703
2017-01-13,1.7022,1.7055,1.6771,1.6804,43555,1.6621,154461,111630,432173,201703
2017-01-12,1.6848,1.7177,1.6809,1.7023,51149,1.684,190104,108810,429443,201703
2017-01-11,1.6413,1.7004,1.6389,1.6804,58906,1.6621,218517,105864,425537,201703
2017-01-10,1.6659,1.6786,1.636,1.6394,67584,1.6114,180392,94103,418260,201702
2017-01-09,1.7291,1.7311,1.6618,1.6656,67731,1.6376,156582,99557,418639,201702
2017-01-06,1.7251,1.7426,1.7057,1.7312,55551,1.7032,128183,107298,424758,201702
2017-01-05,1.7177,1.7335,1.6982,1.7222,58585,1.6942,150799,109537,423142,201702
2017-01-04,1.708,1.7266,1.693,1.721,52731,1.693,135659,114969,427929,201702
2017-01-03,1.7593,1.7927,1.7001,1.7047,70186,1.6767,161582,118522,427659,201702
2016-12-30,1.7505,1.7585,1.7379,1.7562,43204,1.7282,93791,122906,428155,201702
2016-12-29,1.7424,1.7639,1.7398,1.748,43245,1.72,106342,121317,428758,201702
2016-12-28,1.7451,1.7613,1.7394,1.7451,40547,1.7171,115815,120717,433778,201702
2016-12-27,1.7094,1.7574,1.7043,1.7451,47572,1.7171,127187,119125,439089,201702
2016-12-23,1.7037,1.7228,1.6881,1.7087,39213,1.6807,98283,117057,441973,201702
2016-12-22,1.6882,1.7148,1.6723,1.7062,60652,1.6782,175056,116107,443158,201702
2016-12-21,1.7258,1.7284,1.684,1.6887,60011,1.6607,177758,110419,441065,201702
2016-12-20,1.7147,1.7278,1.7058,1.7168,48189,1.6888,168476,104505,440699,201702
2016-12-19,1.7216,1.7326,1.7051,1.7147,34192,1.6867,120650,100386,440185,201702
2016-12-16,1.6946,1.7265,1.6811,1.7183,33411,1.6903,135024,98961,444753,201702
2016-12-15,1.6845,1.7041,1.6737,1.6882,33677,1.6602,147910,95748,444260,201702
2016-12-14,1.7065,1.7351,1.683,1.6897,55001,1.6435,158564,72958,443018,201701
2016-12-13,1.7167,1.733,1.7076,1.7209,59999,1.6747,183483,80688,446194,201701
2016-12-12,1.7027,1.757,1.7026,1.7179,58524,1.6717,166079,88123,442897,201701
2016-12-09,1.6693,1.6879,1.6659,1.6836,59766,1.6374,163445,92820,442579,201701
2016-12-08,1.6636,1.682,1.6528,1.6721,64410,1.6259,207601,93874,433340,201701
