Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-02-10,248,251.5,248,250.25,262,254.5,551,3969,8109,201703
2017-02-09,251.75,253.25,245.75,250.25,297,254.5,619,4056,8028,201703
2017-02-08,253.75,253.75,246.25,249.75,358,254,631,4155,7935,201703
2017-02-07,256,256.75,250.5,253.25,392,257.5,705,4317,7942,201703
2017-02-06,252.75,260.5,250.75,257,310,261.25,482,4391,7896,201703
2017-02-03,250.5,255.5,246.75,254.5,289,258.75,489,4363,7769,201703
2017-02-02,245.75,253.75,245.75,250.75,268,255,536,4353,7671,201703
2017-02-01,241.25,249,240.75,246.5,533,250.75,831,4356,7570,201703
2017-01-31,240.75,243.25,238.75,240,445,244.25,744,4502,7560,201703
2017-01-30,249,249,239,239.5,733,243.75,1071,4672,7637,201703
2017-01-27,251,252.75,245,249,461,253.25,643,4942,7735,201703
2017-01-26,256.5,260.5,250.25,251,443,255.25,646,5125,7931,201703
2017-01-25,253,256.75,253,255.75,216,260,478,5071,7866,201703
2017-01-24,252.5,255.75,249.25,252.5,480,256.75,851,5159,7901,201703
2017-01-23,260.25,264.25,249.75,255.75,687,260,926,5179,7773,201703
2017-01-20,254,260.25,250.75,258.5,422,262.75,618,5316,7861,201703
2017-01-19,253,255.5,246.5,253.75,576,258,1096,5369,7831,201703
2017-01-18,244.5,257,244.5,252.75,653,257,890,5349,7649,201703
2017-01-17,238.25,249.5,237.75,245,1150,249.25,1445,5330,7645,201703
2017-01-13,230.5,238.75,230.25,238.25,849,242.5,1125,5225,7366,201703
2017-01-12,229.5,232.75,229.25,231.5,199,235.75,247,5069,7005,201703
2017-01-11,222.25,228.75,221.75,227.5,416,231.75,607,5102,7025,201703
2017-01-10,221.5,226.25,221,222.25,206,226.5,268,5031,6827,201703
2017-01-09,224,227.75,220.75,221.25,712,225.5,740,5067,6809,201703
2017-01-06,231.25,234.5,222.25,223.75,537,228,770,4735,6467,201703
2017-01-05,234,235.25,231.25,232.25,314,236.5,369,4812,6393,201703
2017-01-04,231.75,234.75,230.25,233.5,833,237.75,891,4787,6349,201703
2017-01-03,225.75,233,224.75,231.25,598,235.5,704,5104,6643,201703
2016-12-30,222.5,225.25,222.5,224.25,136,228.5,147,5033,6492,201703
2016-12-29,223.5,226.5,219.25,222.25,205,226.5,215,5064,6525,201703
2016-12-28,224.75,225,222.25,223.5,171,227.75,187,5074,6534,201703
2016-12-27,213,229,213,224.25,290,228.5,323,5092,6549,201703
2016-12-23,214.5,214.75,212,214.25,166,218.5,229,5131,6596,201703
2016-12-22,218.5,218.5,213.75,213.75,328,218,454,5090,6536,201703
2016-12-21,219,221.75,218.75,219,153,223.25,188,5121,6498,201703
2016-12-20,221.5,222,218.75,219.5,1025,223.75,1231,5167,6525,201703
2016-12-19,221.75,223.25,219.75,221.25,155,225.5,187,5819,7117,201703
2016-12-16,220.5,221.5,219,219.75,258,224,318,5859,7141,201703
2016-12-15,223.75,225.25,219,221,267,225.25,345,5876,7114,201703
