Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-03-07,1.6979,1.7226,1.6931,1.6981,72942,1.6798,222373,106434,410660,201704
2017-03-06,1.6727,1.7028,1.6544,1.6906,62218,1.6723,170172,109094,406048,201704
2017-03-03,1.6607,1.6774,1.6573,1.6714,63670,1.6531,193344,111561,403745,201704
2017-03-02,1.6833,1.6913,1.6449,1.6616,89591,1.6433,294312,116787,403051,201704
2017-03-01,1.7284,1.744,1.6833,1.6963,75145,1.678,228317,118210,397315,201704
2017-02-28,1.7595,1.7611,1.6982,1.7477,106723,1.7294,308691,117809,391562,201704
2017-02-27,1.754,1.7794,1.7508,1.76,57207,1.7417,151647,115723,394649,201704
2017-02-24,1.7634,1.7662,1.7385,1.7548,56282,1.7365,161323,114209,402013,201704
2017-02-23,1.7613,1.7933,1.7541,1.7659,85571,1.7476,232705,113670,409427,201704
2017-02-22,1.7454,1.7624,1.7292,1.7531,66973,1.7348,188105,110843,421872,201704
2017-02-21,1.7607,1.7827,1.7369,1.7422,86004,1.7239,243172,108012,427309,201704
2017-02-17,1.763,1.7657,1.7332,1.7607,69770,1.7424,225027,109629,430224,201704
2017-02-16,1.7849,1.7928,1.7498,1.7646,64244,1.7463,220941,109569,435872,201704
2017-02-15,1.7799,1.7952,1.7703,1.7846,54342,1.7663,176757,106597,427316,201704
2017-02-14,1.7733,1.8059,1.7715,1.7833,59125,1.765,207178,104487,426734,201704
2017-02-13,1.8261,1.8397,1.7765,1.7812,71319,1.5446,206614,77623,424986,201703
2017-02-10,1.8069,1.85,1.8056,1.8262,72857,1.5896,219196,87032,423255,201703
2017-02-09,1.7876,1.8177,1.7837,1.8068,97849,1.5702,309450,97541,423841,201703
2017-02-08,1.7086,1.796,1.7016,1.7893,125813,1.5527,391833,112099,425867,201703
2017-02-07,1.7505,1.7528,1.7082,1.7241,82511,1.4875,258145,122471,428725,201703
2017-02-06,1.7916,1.8074,1.7417,1.7469,83420,1.5103,233298,132019,429210,201703
2017-02-03,1.7726,1.8009,1.7558,1.7903,74529,1.5537,219998,140461,434459,201703
2017-02-02,1.8165,1.8285,1.7671,1.7695,75702,1.5329,225792,144723,434420,201703
2017-02-01,1.7931,1.8224,1.7823,1.8157,87169,1.5791,253508,148871,427138,201703
2017-01-31,1.7659,1.8155,1.7628,1.7867,68918,1.5501,179699,156678,426271,201703
2017-01-30,1.7838,1.7889,1.7604,1.7697,59214,1.5331,158690,157577,419617,201703
2017-01-27,1.7982,1.8121,1.7785,1.7884,66940,1.5518,174437,160784,433126,201703
2017-01-26,1.7957,1.8163,1.7693,1.8059,70527,1.5693,215105,163587,441613,201703
2017-01-25,1.821,1.8265,1.7801,1.789,77883,1.5524,239809,159938,435649,201703
2017-01-24,1.8373,1.8556,1.8182,1.8384,67172,1.6018,200408,158254,442922,201703
2017-01-23,1.83,1.8395,1.8072,1.8292,50607,1.5926,146802,154066,443688,201703
