Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2016-08-29,1000.25,1006.75,994,997,82017,964.25,119523,376916,636626,201611
2016-08-26,1007,1013,993.25,1000,115339,967.25,184689,378843,645919,201611
2016-08-25,1036.75,1037.75,1007.5,1008.25,130671,975.5,212656,387637,665926,201611
2016-08-24,1045.75,1046.75,1029,1038,99814,1005.25,137523,393325,665625,201611
2016-08-23,1047.25,1049.5,1039.25,1046.25,76314,1013.5,113377,395025,669874,201611
2016-08-22,1033.75,1052.75,1031.75,1048.5,95649,1015.75,143257,397590,675749,201611
2016-08-19,1047.25,1049.75,1030.75,1037.25,85467,1004.5,132178,393748,671798,201611
2016-08-18,1048.75,1050.25,1029,1047.25,113996,1014.5,180418,395727,675638,201611
2016-08-17,1041.25,1050,1035.5,1048.75,73423,1016,118179,391988,669054,201611
2016-08-16,1041.25,1048.5,1033.75,1040,93869,1007.25,141715,389927,670757,201611
2016-08-15,1014.25,1043.75,1012.75,1042,97572,1009.25,158904,386005,672742,201611
2016-08-12,1015.75,1025.5,995.25,1014.5,146690,981.75,232018,380785,673933,201611
2016-08-11,1015,1022.75,1011,1016.75,68706,984,104460,383937,678187,201611
2016-08-10,1020.75,1030.5,1005.5,1015,95324,982.25,142135,384222,677611,201611
2016-08-09,1015.75,1032,1010,1020.75,81169,988,126877,382472,674104,201611
2016-08-08,1012.25,1021.75,1003.25,1017.75,85529,985,120025,380657,674459,201611
2016-08-05,989.75,1012.5,989.75,1007.25,88452,974.5,127870,379994,675476,201611
2016-08-04,987.75,1000.25,983.25,989.5,73685,956.75,109595,380911,679183,201611
2016-08-03,985.75,999.25,982.75,988.25,89454,955.5,150018,383717,682989,201611
2016-08-02,992.75,1000.75,975.75,985.75,124949,953,195176,382285,682021,201611
2016-08-01,1025.5,1032.75,991,994.25,120245,961.5,176152,388005,686126,201611
2016-07-29,1012.75,1038.75,1001.5,1035.75,104138,1003,166017,392919,688781,201611
2016-07-28,1021,1029.75,1005.75,1010.75,101449,978,192586,386824,690793,201611
2016-07-27,1007.5,1027.75,1004.25,1018.75,110874,986,221535,388941,699705,201611
