Date,Open,High,Low,Close,Volume,UnAdjusted Close,Total Volume,Open Interest,Total Open Interest,Contract
2017-01-27,724.65,745.55,712.85,739.75,5103,738.6,5282,25957,28420,201703
2017-01-26,733.6,745.65,714.9,725.6,8362,724.45,8618,26540,28918,201703
2017-01-25,791,792.6,731.75,737.25,10332,736.1,10522,26772,29102,201703
2017-01-24,779.95,799.15,774.4,797,4612,795.85,4880,28572,30826,201703
2017-01-23,789.65,798.65,771.25,772.65,6713,771.5,6868,28246,30463,201703
2017-01-20,755.15,795.3,752.15,789.55,8674,788.4,9591,28761,30921,201703
2017-01-19,750.5,756.65,745.5,752.3,3226,751.15,3343,27400,28762,201703
2017-01-18,752.05,755.4,743.9,752.15,3390,751,3456,27338,28659,201703
2017-01-17,753.7,761.65,738.6,754.15,5189,753,5332,27070,28383,201703
2017-01-13,761.1,761.1,745.5,750.3,4502,749.15,4588,26548,27804,201703
2017-01-12,758.05,767.15,754.45,766.4,3857,765.25,3935,26735,27956,201703
2017-01-11,767.3,768.5,745.4,755.05,4615,753.9,4770,25976,27164,201703
2017-01-10,761.35,767.45,757.75,766.4,3433,765.25,3516,25854,26971,201703
2017-01-09,757.55,770.1,755.7,758.3,4309,757.15,4409,25477,26541,201703
2017-01-06,740.95,760.95,736.7,759.5,5590,758.35,5852,25000,26027,201703
2017-01-05,740.15,751.15,728.7,739.35,8360,738.2,8586,24385,25225,201703
2017-01-04,712.3,745.3,709.45,739.95,4823,738.8,5012,24068,24797,201703
2017-01-03,680.95,720.65,679.3,711.05,6297,709.9,6391,23777,24483,201703
2016-12-30,674.85,688.95,671.35,684.4,3002,683.25,3009,23135,23812,201703
2016-12-29,670.05,677.65,668.65,676.8,2188,675.65,2193,23268,23952,201703
2016-12-28,672.65,680.3,666.65,668,3756,666.85,3797,23543,24236,201703
2016-12-27,661.15,679.65,658.7,674.95,2761,673.8,2773,23600,24290,201703
2016-12-23,657.65,661.5,654.85,656,2351,654.85,2368,23893,24591,201703
2016-12-22,659.25,664.6,653.3,657.75,3558,656.6,3571,23961,24663,201703
2016-12-21,667.05,669.35,656.95,661.05,4147,659.9,4163,24246,24939,201703
2016-12-20,678.25,681.95,664.6,672,5373,670.85,5385,24466,25156,201703
2016-12-19,693.25,699.25,676.95,679.85,4573,678.7,4724,24940,25637,201703
2016-12-16,703.15,705.85,681.4,698.4,7998,697.25,8013,25446,26013,201703
2016-12-15,722.9,731.05,698.1,706.8,5956,705.65,6121,26306,26871,201703
2016-12-14,731.55,735.35,722.7,733.7,2824,732.55,2844,26547,27189,201703
2016-12-13,723.7,736.1,723.7,731.75,2691,730.6,2696,26626,27269,201703
2016-12-12,735.6,738.9,723.15,728.7,3339,727.55,3655,26697,27353,201703
2016-12-09,740.1,750.3,729.65,736.2,3501,735.05,3510,26855,27309,201703
2016-12-08,735.8,747.1,717.45,740.2,6222,739.05,6350,27206,27664,201703
2016-12-07,738.05,740.65,729.55,733.8,3865,732.65,4045,27430,27828,201703
2016-12-06,747.05,756.15,733.75,735.55,4338,734.4,4370,27354,27640,201703
2016-12-05,744.6,753.35,728.35,747.2,5206,746.05,5271,27342,27637,201703
2016-12-02,754.8,759.15,738.35,746.65,5464,745.5,5548,26907,27295,201703
2016-12-01,772.1,777.15,748.1,752.85,6689,751.7,6818,26863,27262,201703
2016-11-30,765.15,776.9,763.7,773.8,5081,772.65,5241,26211,26654,201703
2016-11-29,760.25,768.8,756.2,766.4,5349,765.25,6328,25643,26153,201703
2016-11-28,746.85,763.15,743.7,759.15,7726,758,12007,24835,25934,201703
2016-11-25,737.35,747.65,726.65,744.05,5112,742.9,11400,22739,26373,201703
2016-11-23,743.8,746.15,725.55,739.7,6706,738.55,16490,19993,26703,201703
2016-11-22,729.55,751.2,728.55,746.55,8790,744.25,13788,10203,27518,201612
2016-11-21,729.35,734.55,723.95,728.85,6351,726.55,9174,12380,27219,201612
2016-11-18,731.6,731.6,705.1,730.1,9484,727.8,13300,13836,27187,201612
2016-11-17,718.55,736.4,713.65,731.95,7076,729.65,9027,14487,25572,201612
2016-11-16,706.3,721.85,692.4,721.1,7968,718.8,9653,14375,24549,201612
2016-11-15,698.4,709.25,691.1,708.25,9745,705.95,12725,13728,23177,201612
